instance,jobs,machines,method,makespan,runtime_seconds,checkpoint
ta01,15,15,DANIEL,1431.0,1.0354140000417829,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta01,15,15,FIFO,1830.0,1.1864380000624806,
ta01,15,15,SPT,1462.0,0.8665000998880714,
ta01,15,15,MOR,1438.0,0.9122982998378575,
ta01,15,15,MWR,1491.0,0.918711100006476,
ta01,15,15,LOR,1737.0,1.2002838000189513,
ta01,15,15,LWR,1710.0,0.9776455000974238,
ta02,15,15,DANIEL,1398.0,1.0482844000216573,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta02,15,15,FIFO,1526.0,0.9502786998637021,
ta02,15,15,SPT,1446.0,0.8529547001235187,
ta02,15,15,MOR,1452.0,0.8809509000275284,
ta02,15,15,MWR,1440.0,0.9311349999625236,
ta02,15,15,LOR,1811.0,0.9812944000586867,
ta02,15,15,LWR,2024.0,1.1934730999637395,
ta03,15,15,DANIEL,1498.0,1.048660899978131,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta03,15,15,FIFO,1711.0,0.9574541000183672,
ta03,15,15,SPT,1495.0,0.9437138000503182,
ta03,15,15,MOR,1418.0,0.919279099907726,
ta03,15,15,MWR,1426.0,0.9308680999092758,
ta03,15,15,LOR,1574.0,0.9714280001353472,
ta03,15,15,LWR,1759.0,1.0253510000184178,
ta04,15,15,DANIEL,1322.0,1.0758533000480384,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta04,15,15,FIFO,1607.0,0.9806603000033647,
ta04,15,15,SPT,1708.0,1.0450738000217825,
ta04,15,15,MOR,1457.0,1.024524600012228,
ta04,15,15,MWR,1387.0,0.9114486000034958,
ta04,15,15,LOR,1550.0,0.9865492000244558,
ta04,15,15,LWR,1843.0,1.2319944000337273,
ta05,15,15,DANIEL,1477.0,1.0350950001738966,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta05,15,15,FIFO,1620.0,1.0497750001959503,
ta05,15,15,SPT,1618.0,1.0287313999142498,
ta05,15,15,MOR,1448.0,0.9043335001915693,
ta05,15,15,MWR,1494.0,0.9575030999258161,
ta05,15,15,LOR,1788.0,1.0620866001117975,
ta05,15,15,LWR,1772.0,1.0515053002163768,
ta06,15,15,DANIEL,1414.0,1.0593301998451352,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta06,15,15,FIFO,1775.0,1.1253184999804944,
ta06,15,15,SPT,1522.0,0.9531205999664962,
ta06,15,15,MOR,1486.0,0.9427247999701649,
ta06,15,15,MWR,1369.0,0.8015666001010686,
ta06,15,15,LOR,1714.0,1.0422157999128103,
ta06,15,15,LWR,1740.0,1.1528372999746352,
ta07,15,15,DANIEL,1483.0,1.195526799885556,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta07,15,15,FIFO,1582.0,0.9807982000056654,
ta07,15,15,SPT,1434.0,0.8321199999190867,
ta07,15,15,MOR,1456.0,0.9240429999772459,
ta07,15,15,MWR,1470.0,0.9361386999953538,
ta07,15,15,LOR,1754.0,1.0880999001674354,
ta07,15,15,LWR,1655.0,0.9960495999548584,
ta08,15,15,DANIEL,1362.0,1.077409600140527,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta08,15,15,FIFO,1515.0,0.9356326998677105,
ta08,15,15,SPT,1457.0,0.79909300012514,
ta08,15,15,MOR,1482.0,0.8324281999375671,
ta08,15,15,MWR,1491.0,0.9460581999737769,
ta08,15,15,LOR,1709.0,1.0541312999557704,
ta08,15,15,LWR,1945.0,1.1178552999626845,
ta09,15,15,DANIEL,1449.0,1.1214831999968737,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta09,15,15,FIFO,1709.0,0.987880100030452,
ta09,15,15,SPT,1622.0,0.945601699873805,
ta09,15,15,MOR,1594.0,0.9274016998242587,
ta09,15,15,MWR,1541.0,1.0233543999493122,
ta09,15,15,LOR,1844.0,1.1415946001652628,
ta09,15,15,LWR,1997.0,1.186494099907577,
ta10,15,15,DANIEL,1472.0,1.1278169001452625,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\DANIEL\save\JSSP\6x6+jssp.pth
ta10,15,15,FIFO,1699.0,1.100899700075388,
ta10,15,15,SPT,1697.0,1.031122000189498,
ta10,15,15,MOR,1582.0,0.9880062998272479,
ta10,15,15,MWR,1534.0,1.0569672000128776,
ta10,15,15,LOR,1847.0,1.2364270000252873,
ta10,15,15,LWR,1702.0,1.064752700040117,
