instance,method,makespan,runtime_seconds
ta11,L2D,1867.0,0.22475470900008077
ta11,SPT,2282.0,0.02506658300080744
ta12,L2D,1806.0,0.25494008300029236
ta12,SPT,2290.0,0.03134208299979946
ta13,L2D,1774.0,0.35134233300050255
ta13,SPT,2198.0,0.02529645799950231
ta14,L2D,1796.0,0.2113882920002652
ta14,SPT,2184.0,0.02534650000052352
ta15,L2D,1884.0,0.22588958399956027
ta15,SPT,2163.0,0.027968332999989798
ta16,L2D,1795.0,0.22934195800007728
ta16,SPT,2407.0,0.02531316699969466
ta17,L2D,2050.0,0.21583820799969544
ta17,SPT,2254.0,0.026397666000775644
ta18,L2D,1806.0,0.27292479100015044
ta18,SPT,2160.0,0.025694417000522662
ta19,L2D,1779.0,0.22464399999989837
ta19,SPT,2238.0,0.026028750000477885
ta20,L2D,1955.0,0.23907504199996765
ta20,SPT,2171.0,0.029642790999787394
