instance,jobs,machines,method,makespan,runtime_seconds,checkpoint
ta11,20,15,L2D,1962.0,0.18277660012245178,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta11,20,15,FIFO,2018.0,1.6202389998361468,
ta11,20,15,SPT,1865.0,1.6059600000735372,
ta11,20,15,MOR,1665.0,1.3113543998915702,
ta11,20,15,MWR,1685.0,1.4029926999937743,
ta11,20,15,LOR,2092.0,1.9460668000392616,
ta11,20,15,LWR,1977.0,1.6397667999844998,
ta12,20,15,L2D,1993.0,0.21385059994645417,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta12,20,15,FIFO,1976.0,1.7888692999258637,
ta12,20,15,SPT,1667.0,1.1470580999739468,
ta12,20,15,MOR,1739.0,1.4727829999756068,
ta12,20,15,MWR,1707.0,1.4592144000343978,
ta12,20,15,LOR,1992.0,1.878067399840802,
ta12,20,15,LWR,1890.0,1.6533860999625176,
ta13,20,15,L2D,1939.0,0.18860189989209175,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta13,20,15,FIFO,2140.0,1.8215121000539511,
ta13,20,15,SPT,1802.0,1.5530999000184238,
ta13,20,15,MOR,1642.0,1.5208338999655098,
ta13,20,15,MWR,1690.0,1.5962920999154449,
ta13,20,15,LOR,1957.0,1.8544399000238627,
ta13,20,15,LWR,1821.0,1.5096237000543624,
ta14,20,15,L2D,2018.0,0.1935094001237303,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta14,20,15,FIFO,2084.0,1.7293618000112474,
ta14,20,15,SPT,1635.0,1.2335175999905914,
ta14,20,15,MOR,1662.0,1.4349971001502126,
ta14,20,15,MWR,1563.0,1.3864857000298798,
ta14,20,15,LOR,2077.0,2.2118236999958754,
ta14,20,15,LWR,1889.0,1.6694114001002163,
ta15,20,15,L2D,1936.0,0.19244719995185733,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta15,20,15,FIFO,1850.0,1.7035228998865932,
ta15,20,15,SPT,1835.0,1.5146679999306798,
ta15,20,15,MOR,1682.0,1.4009604998864233,
ta15,20,15,MWR,1696.0,1.5795139002148062,
ta15,20,15,LOR,1950.0,1.7255712999030948,
ta15,20,15,LWR,2022.0,1.837676600087434,
ta16,20,15,L2D,1913.0,0.16966999997384846,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta16,20,15,FIFO,1904.0,1.575888100080192,
ta16,20,15,SPT,1965.0,1.4090727001894265,
ta16,20,15,MOR,1638.0,1.3359991000033915,
ta16,20,15,MWR,1584.0,1.2459931999910623,
ta16,20,15,LOR,1957.0,1.651853899937123,
ta16,20,15,LWR,1890.0,1.5241481000557542,
ta17,20,15,L2D,2089.0,0.18411989999003708,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta17,20,15,FIFO,2302.0,1.8826482999138534,
ta17,20,15,SPT,2059.0,1.5847195000387728,
ta17,20,15,MOR,1856.0,1.6615852999966592,
ta17,20,15,MWR,1804.0,1.7062937999144197,
ta17,20,15,LOR,2264.0,2.071393399965018,
ta17,20,15,LWR,2284.0,2.0013388998340815,
ta18,20,15,L2D,1806.0,0.19177239993587136,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta18,20,15,FIFO,1839.0,1.7309820000082254,
ta18,20,15,SPT,1808.0,1.367633500136435,
ta18,20,15,MOR,1710.0,1.4815543999429792,
ta18,20,15,MWR,1751.0,1.5380271999165416,
ta18,20,15,LOR,2437.0,2.286081900121644,
ta18,20,15,LWR,2199.0,1.879371999995783,
ta19,20,15,L2D,1852.0,0.21357940020971,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta19,20,15,FIFO,1955.0,1.8080668000038713,
ta19,20,15,SPT,1789.0,1.3078125999309123,
ta19,20,15,MOR,1651.0,1.4484490999020636,
ta19,20,15,MWR,1667.0,1.4460636000148952,
ta19,20,15,LOR,1840.0,1.580908700125292,
ta19,20,15,LWR,2078.0,1.7659507000353187,
ta20,20,15,L2D,1837.0,0.18380050011910498,C:\Users\jesse\PycharmProjects\jssp_tutorial\Job_Shop_Scheduling_Benchmark_Environments_and_Instances\solution_methods\L2D\saved_models\6_6_1_99.pth
ta20,20,15,FIFO,2016.0,1.7934135000687093,
ta20,20,15,SPT,1710.0,1.3067165000829846,
ta20,20,15,MOR,1622.0,1.4173877998255193,
ta20,20,15,MWR,1689.0,1.4326128999236971,
ta20,20,15,LOR,2112.0,2.0877399002201855,
ta20,20,15,LWR,2022.0,1.9969823001883924,
